Orden,Familia,Género,Especie
Passeriforme,Emberizidae,Zonotrichia ,Zonotrichia capensis
Passeriforme,Turdidae,Turdus,Turdus fuscater
Columbiformes,Columbidae,Colomba,Columba livia
Columbiformes,Columbidae,Zenaida,Zenaida auriculata
Passeriforme,Fringilidae,Astragalinus ,Astragalinus psaltria
Passeriforme,Thraupidae,Ramphocelus,Ramphocelus dimidiatus
Passeriforme,Mimidae,Mimus,Mimus gilvus
Passeriforme,Thraupidae,Thraupis,Thraupis episcopus
Accipitriformes ,Accipitridae,Elanus,Elaunus leucurus
Falconiformes,Falconidae,Falco ,Falco sparverius
Passeriforme,Cardinalidae,Pheucticus,Pheucticus aureoventris
Passeriforme,Thraupidae,Diglossa,Diglossa humeralis
Passeriforme,Thraupidae,Diglossa,Diglossa sittoides 
Passeriforme,Thraupidae,Diglossa,Diglossa cyanea
Passeriforme,Thraupidae,Anisognathus,Anisognathus igniventris 
Strigiformes,Strigidae,Megascops,Megascops choliba 
Passeriforme,Vireonidae,Vireo,Vireo olivaceus
Strigiformes,Tytonidae,Tyto,Tyto alba
Passeriforme,Thraupidae,Conirostrum,Conirostrum rufum
Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis
Apodiformes,Trochilidae,Eriocnemis,Eriocnemis cupreoventris
Apodiformes,Trochilidae,Colibri,Colibri coruscans
Apodiformes,Trochilidae,Lesbia,Lesbia nuna
Passeriforme,Icteridae,Molothrus,Molothrus bonariensis
Passeriforme,Hirundinidae,Notiochelidon,Notiochelidon cyanoleuca
Passeriforme,Icteridae,Icterus,Icterus chrysater
Passeriforme,Parulidae,Basileuterus,Basileuterus coronatus
Passeriforme,Cardinalidae,Piranga,Piranga rubra
Passeriforme,Hirundinidae,Orochelidon,Orochelidon murina
Passeriforme,Fumaridae,Sinallaxys ,Synallaxis subpudica
Passeriforme,Parulidae,Brasileuterus,Basileuterus nigrocristatus
Passeriforme,Grallariidae,Grallaria,Grallaria ruficapilla
Psittaciformes ,Psittacidae,Forpus,Forpus conspicillatus 
Columbiformes,Columbidae,Patagioena,Patagioena fasciata
Passeriforme,Tyrannidae,Mercocerculus,Mecocerculus leucophrys
Passeriforme ,Emberizidae,Arremon,Arremon torquatus 
Passeriforme ,Emberizidae,Atlapetes,Atlapetes pallidinuca 
Apodiformes,Trochilidae,Lesbia,Lesbia victoriae 
Passeriforme,Tyrannidae,Elaenia,Elaenia frantzi
Passeriforme,Thraupidae,Dubusia,Dubusia taenita 
Passeriforme,Rhinocryptidae,Scytalopus,Scytalopus griseicollis
Apodiformes,Trochilidae,,Acestrura mulsant
Falconiformes,Falconidae,,falco peregrinus
,Cathartidae,,Coragyps atratus
Passeriforme ,Tyrannidae,Tyranus ,Tyrannus melancholicus 
,Tyrannidae,,Pyrocephalus rubinus 
,Picidae,,Veniliornis fumigatus 
,Accipitridae,,Rupornis magnirostris 
,Accipitridae,,Buteo platypterus 
,Apodidae,,Streptoprocne zonaris 
,Cotingidae,,Ampelion rubrocristatus 
,Emberizidae,,Sicalis flaveola
,Emberizidae,,Sicalis luteola 
,Fringilidae,,Sporagra spinescens
,Trochilidae,,Eriocnemis vestitus 
,Trochilidae,,Chaetocercus mulsant 
,Parulidae,,Myoborus ornatus 
,Icteridae,,Amblycercus holosericeus 
,Icteridae,,Icterus nigrogularis
,,,Catamenia analis 
,,,Hemispingus superciliaris 
,,,Myiodynastes luteiventris
